original,original_bytes,best,best_bytes,savings_bytes,savings_percent
originals/00001_webflow-badge-icon-d2.89e12c322e_00f45354c11a.svg,421,best/00001_webflow-badge-icon-d2.89e12c322e_00f45354c11a.svg,418,3,0.71
originals/00002_webflow-badge-text-d2.c82cec3b78_3202cb640fad.svg,9912,best/00002_webflow-badge-text-d2.c82cec3b78_3202cb640fad.svg,9897,15,0.15
originals/00003_ee_833721235487.gif,35,best/00003_ee_833721235487.gif,35,0,0.0
originals/00004_5-star-brown_3b86f09d5b3e.svg,2553,best/00004_5-star-brown_3b86f09d5b3e.svg,2490,63,2.47
originals/00005_belinda_1belinda_83159e259bde.jpg,1906,best/00005_belinda_1belinda_83159e259bde.webp,798,1108,58.13
originals/00006_bloomberg_3e7a0d18af7f.png,3636,best/00006_bloomberg_3e7a0d18af7f.webp,2610,1026,28.22
originals/00007_change-grid-10-p-500_9f7ff2343552.jpg,20587,best/00007_change-grid-10-p-500_9f7ff2343552.webp,10472,10115,49.13
originals/00008_change-grid-10-p-800_48dc4789ec22.jpg,54743,best/00008_change-grid-10-p-800_48dc4789ec22.webp,30996,23747,43.38
originals/00009_change-grid-10_bb0e1f6c3092.jpg,65401,best/00009_change-grid-10_bb0e1f6c3092.webp,36706,28695,43.88
originals/00010_change-grid-11-p-500_1a2b3761eb60.jpg,19207,best/00010_change-grid-11-p-500_1a2b3761eb60.webp,7158,12049,62.73
originals/00011_change-grid-11_66828c9c8ce5.jpg,42264,best/00011_change-grid-11_66828c9c8ce5.webp,16560,25704,60.82
originals/00012_change-grid-4-p-500_d63662af0c38.jpg,22191,best/00012_change-grid-4-p-500_d63662af0c38.webp,8280,13911,62.69
originals/00013_change-grid-4-p-800_5d72c4055434.jpg,47479,best/00013_change-grid-4-p-800_5d72c4055434.webp,15252,32227,67.88
originals/00014_change-grid-4_05f7d1810cf6.jpg,63605,best/00014_change-grid-4_05f7d1810cf6.webp,21284,42321,66.54
originals/00015_change-grid-4_1-p-500_d7fef6fcb2e6.jpg,22774,best/00015_change-grid-4_1-p-500_d7fef6fcb2e6.webp,8184,14590,64.06
originals/00016_change-grid-4_1_e14e74a5bf25.jpg,32773,best/00016_change-grid-4_1_e14e74a5bf25.avif,13941,18832,57.46
originals/00017_change-grid-5-p-500_cf16d60e45e1.jpg,24665,best/00017_change-grid-5-p-500_cf16d60e45e1.webp,8594,16071,65.16
originals/00018_change-grid-5-p-800_4a031fd602cb.jpg,58005,best/00018_change-grid-5-p-800_4a031fd602cb.webp,19222,38783,66.86
originals/00019_change-grid-5_c584300d3e48.jpg,72087,best/00019_change-grid-5_c584300d3e48.webp,24996,47091,65.33
originals/00020_change-grid-9-p-500_30caaa6b9c26.jpg,19192,best/00020_change-grid-9-p-500_30caaa6b9c26.webp,7106,12086,62.97
originals/00021_change-grid-9-p-800_a70dfb71a6e0.jpg,44188,best/00021_change-grid-9-p-800_a70dfb71a6e0.webp,15888,28300,64.04
originals/00022_change-grid-9_2fc4911db424.jpg,64315,best/00022_change-grid-9_2fc4911db424.webp,23308,41007,63.76
originals/00023_checkmark-icon-white_9b0ba2bd3105.svg,391,best/00023_checkmark-icon-white_9b0ba2bd3105.svg,391,0,0.0
originals/00024_chris_1chris_27fa3eeed208.jpg,2490,best/00024_chris_1chris_27fa3eeed208.webp,1304,1186,47.63
originals/00025_favicon_4239819d3998.ico,15086,best/00025_favicon_4239819d3998.webp,282,14804,98.13
originals/00026_glp-1-cs_7fec1bb667f4.png,47017,best/00026_glp-1-cs_7fec1bb667f4.webp,18454,28563,60.75
originals/00027_glp-1-ozempic_3fcd03576cd3.png,24467,best/00027_glp-1-ozempic_3fcd03576cd3.avif,9284,15183,62.06
originals/00028_glp-1-tz_a907defd57a7.png,37796,best/00028_glp-1-tz_a907defd57a7.webp,11174,26622,70.44
originals/00029_glp-injections-n_8aaeb3c958f3.png,63770,best/00029_glp-injections-n_8aaeb3c958f3.webp,13532,50238,78.78
originals/00030_glp-tablets-n_3298a629cf52.png,122251,best/00030_glp-tablets-n_3298a629cf52.avif,10526,111725,91.39
originals/00031_glp-tilt-n_32e7bc309a10.png,50869,best/00031_glp-tilt-n_32e7bc309a10.avif,16443,34426,67.68
originals/00032_greg_1greg_6b3b0fef3ba9.jpg,2611,best/00032_greg_1greg_6b3b0fef3ba9.webp,1350,1261,48.3
originals/00033_guarantee-circle_a8d5b36e1650.svg,7046,best/00033_guarantee-circle_a8d5b36e1650.svg,6747,299,4.24
originals/00034_hero-grid-2-p-1080_c8ed62d43caf.jpg,83989,best/00034_hero-grid-2-p-1080_c8ed62d43caf.webp,32314,51675,61.53
originals/00035_hero-grid-2-p-500_9551c632406d.jpg,21025,best/00035_hero-grid-2-p-500_9551c632406d.webp,8704,12321,58.6
originals/00036_hero-grid-2-p-800_c5abc2ece2e8.jpg,48877,best/00036_hero-grid-2-p-800_c5abc2ece2e8.webp,19514,29363,60.08
originals/00037_hero-grid-2_4cc47f94cf7f.jpg,136335,best/00037_hero-grid-2_4cc47f94cf7f.webp,39482,96853,71.04
originals/00038_hero-grid-3-p-500_5757920e5c58.jpg,27030,best/00038_hero-grid-3-p-500_5757920e5c58.webp,10456,16574,61.32
originals/00039_hero-grid-3_ab9926cad088.jpg,37603,best/00039_hero-grid-3_ab9926cad088.webp,24062,13541,36.01
originals/00040_hero-grid-4-p-500_aed20593f202.jpg,17932,best/00040_hero-grid-4-p-500_aed20593f202.webp,6278,11654,64.99
originals/00041_hero-grid-4_afc86d72fc22.jpg,30318,best/00041_hero-grid-4_afc86d72fc22.webp,19064,11254,37.12
originals/00042_hero-grid-6b-p-500_8158cdd9d979.jpg,31416,best/00042_hero-grid-6b-p-500_8158cdd9d979.avif,10706,20710,65.92
originals/00043_hero-grid-6b_45ba0c9f6a5b.jpg,53769,best/00043_hero-grid-6b_45ba0c9f6a5b.avif,31077,22692,42.2
