original,original_bytes,best,best_bytes,savings_bytes,savings_percent
originals/00001_oWx8LB2qsW2N5FuQR6syhKp5IE_92c944f94b7d.png,1641762,best/00001_oWx8LB2qsW2N5FuQR6syhKp5IE_92c944f94b7d.avif,24725,1617037,98.49
originals/00002_u2Ljgu8m4C9DCVQ3T4mC1WOGNc_1493f4742077.png,212122,best/00002_u2Ljgu8m4C9DCVQ3T4mC1WOGNc_1493f4742077.webp,13978,198144,93.41
originals/00003_11KSGbIZoRSg4pjdnUoif6MKHI_6fce5a0604a6.svg,215,best/00003_11KSGbIZoRSg4pjdnUoif6MKHI_6fce5a0604a6.svg,215,0,0.0
originals/00005_19yTsYFUZqRCDlYEjblguX581ig_afc92b120a0a.jpg,85568,best/00005_19yTsYFUZqRCDlYEjblguX581ig_afc92b120a0a.avif,29767,55801,65.21
originals/00007_19yTsYFUZqRCDlYEjblguX581ig_54976700611f.jpg,120402,best/00007_19yTsYFUZqRCDlYEjblguX581ig_54976700611f.webp,56664,63738,52.94
originals/00009_1BRDkIzVV7TxG8fJDyUWdUDDE_571f5e2b15d9.png,2711,best/00009_1BRDkIzVV7TxG8fJDyUWdUDDE_571f5e2b15d9.avif,2623,88,3.25
originals/00011_3YQLMZEk5tHlkmMh4CjpAifaEc_c17dccd325aa.jpg,20165,best/00011_3YQLMZEk5tHlkmMh4CjpAifaEc_c17dccd325aa.webp,7796,12369,61.34
originals/00013_3YQLMZEk5tHlkmMh4CjpAifaEc_f54291eaf7a2.jpg,23311,best/00013_3YQLMZEk5tHlkmMh4CjpAifaEc_f54291eaf7a2.avif,12559,10752,46.12
originals/00015_3b210go7xrqsX3cBCZkQjPg7lc_5423285fa635.png,42166,best/00015_3b210go7xrqsX3cBCZkQjPg7lc_5423285fa635.webp,19046,23120,54.83
originals/00017_6DlpR3ftJ6MctTZwyeuvp0hxAY_d53682c1137a.jpg,104488,best/00017_6DlpR3ftJ6MctTZwyeuvp0hxAY_d53682c1137a.avif,28432,76056,72.79
originals/00019_6NG7JMcShVQy0ZvhiVszVR6REZg_19c7a470a4fc.jpg,90272,best/00019_6NG7JMcShVQy0ZvhiVszVR6REZg_19c7a470a4fc.webp,31908,58364,64.65
originals/00021_6NG7JMcShVQy0ZvhiVszVR6REZg_9689b9baf2bc.jpg,128825,best/00021_6NG7JMcShVQy0ZvhiVszVR6REZg_9689b9baf2bc.webp,72596,56229,43.65
originals/00023_6YhaoNUtBTiFwuXYBUD7Gi0ss_748991712992.jpg,29991,best/00023_6YhaoNUtBTiFwuXYBUD7Gi0ss_748991712992.webp,19374,10617,35.4
originals/00025_6YhaoNUtBTiFwuXYBUD7Gi0ss_17a6b3e3e0db.jpg,15504,best/00025_6YhaoNUtBTiFwuXYBUD7Gi0ss_17a6b3e3e0db.webp,6194,9310,60.05
originals/00028_6tTbkXggWgQCAJ4DO2QEdXXmgM_ca764b586708.svg,214,best/00028_6tTbkXggWgQCAJ4DO2QEdXXmgM_ca764b586708.svg,214,0,0.0
originals/00030_7XTSiB6TPpicn3IN6IcNvoPO4_4a50ef62171b.png,19860,best/00030_7XTSiB6TPpicn3IN6IcNvoPO4_4a50ef62171b.avif,5810,14050,70.75
originals/00032_7vNxZGcgXkoIzEvLFcF7PBqAj2Y_0a60693b89fe.png,30599,best/00032_7vNxZGcgXkoIzEvLFcF7PBqAj2Y_0a60693b89fe.avif,20298,10301,33.66
originals/00034_7vNxZGcgXkoIzEvLFcF7PBqAj2Y_554c9ceacf12.png,57650,best/00034_7vNxZGcgXkoIzEvLFcF7PBqAj2Y_554c9ceacf12.avif,29770,27880,48.36
originals/00036_9WyYelkv3EfaJFi50PZydNSt2ws_5e116bffb845.png,57979,best/00036_9WyYelkv3EfaJFi50PZydNSt2ws_5e116bffb845.avif,17185,40794,70.36
originals/00038_9rHXsWsoDHnFzKFiXFKm2HQGLs_e86eb0679325.png,29443,best/00038_9rHXsWsoDHnFzKFiXFKm2HQGLs_e86eb0679325.avif,10357,19086,64.82
originals/00040_A1lwE6WKdaWtTNHV4R3xFZ1ljVo_28ab18b57d00.jpg,55664,best/00040_A1lwE6WKdaWtTNHV4R3xFZ1ljVo_28ab18b57d00.webp,47254,8410,15.11
originals/00042_A1lwE6WKdaWtTNHV4R3xFZ1ljVo_90f531884931.jpg,23376,best/00042_A1lwE6WKdaWtTNHV4R3xFZ1ljVo_90f531884931.webp,8440,14936,63.89
originals/00046_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_a6686d3130ed.png,119763,best/00046_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_a6686d3130ed.avif,33771,85992,71.8
originals/00048_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_f386b54d018d.png,48634,best/00048_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_f386b54d018d.avif,11226,37408,76.92
originals/00050_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_783c4b933aa4.png,171230,best/00050_Bu2jCFHc6PlUNAbdGF5SmNjXPmU_783c4b933aa4.avif,36091,135139,78.92
originals/00052_CrbVlJKa3d0BxtrYXnh9pIp0_e757ba0bae59.jpg,102094,best/00052_CrbVlJKa3d0BxtrYXnh9pIp0_e757ba0bae59.avif,24747,77347,75.76
originals/00054_CrbVlJKa3d0BxtrYXnh9pIp0_fc07fcc450c7.jpg,164774,best/00054_CrbVlJKa3d0BxtrYXnh9pIp0_fc07fcc450c7.avif,33558,131216,79.63
originals/00056_DledV5XhgNZMvvKuNPweP2g_630a3ee39d7e.png,25570,best/00056_DledV5XhgNZMvvKuNPweP2g_630a3ee39d7e.avif,16239,9331,36.49
originals/00058_E2HTcWzFVYj8RkAxT3IGYNuY_9eada02d23c1.svg,1477,best/00058_E2HTcWzFVYj8RkAxT3IGYNuY_9eada02d23c1.svg,1477,0,0.0
originals/00060_L7wxKZ4YKHUKiODGYQrRlQYvTKo_fc97202e827e.png,21505,best/00060_L7wxKZ4YKHUKiODGYQrRlQYvTKo_fc97202e827e.webp,10700,10805,50.24
originals/00062_Ly2H9feVHgGgo55QqMcUBXLE5uo_570dbef0b233.svg,492,best/00062_Ly2H9feVHgGgo55QqMcUBXLE5uo_570dbef0b233.svg,492,0,0.0
originals/00064_M0OCfdXjRNoYKdSKur1aYLr0i4_0e7f9dff39b9.png,28960,best/00064_M0OCfdXjRNoYKdSKur1aYLr0i4_0e7f9dff39b9.avif,13883,15077,52.06
originals/00066_M0OCfdXjRNoYKdSKur1aYLr0i4_a3f2e5fd9b30.png,48967,best/00066_M0OCfdXjRNoYKdSKur1aYLr0i4_a3f2e5fd9b30.webp,30932,18035,36.83
originals/00068_M2LQEfvOlVZuaIFYNA0vXuXEo_2ec21cb8f56d.png,22513,best/00068_M2LQEfvOlVZuaIFYNA0vXuXEo_2ec21cb8f56d.avif,9279,13234,58.78
originals/00070_MUleo6AJYzUp84yfK9JU0Bo_b962d44838b9.png,328,best/00070_MUleo6AJYzUp84yfK9JU0Bo_b962d44838b9.webp,210,118,35.98
originals/00072_MmOBvmKQi9xqc185vH7Cqxq8F8_29571206a76c.png,62414,best/00072_MmOBvmKQi9xqc185vH7Cqxq8F8_29571206a76c.avif,22899,39515,63.31
originals/00074_MoQjUaFVDcKosmLtidv94kjQ3Zk_ccb0eb4d5a7b.png,14795,best/00074_MoQjUaFVDcKosmLtidv94kjQ3Zk_ccb0eb4d5a7b.avif,10724,4071,27.52
originals/00076_O7As3EtAHPp6cus5hmUPb9BCU_084091a1cc24.png,73154,best/00076_O7As3EtAHPp6cus5hmUPb9BCU_084091a1cc24.webp,31156,41998,57.41
originals/00078_O7As3EtAHPp6cus5hmUPb9BCU_4cf64e9ac2a0.png,24397,best/00078_O7As3EtAHPp6cus5hmUPb9BCU_4cf64e9ac2a0.webp,10526,13871,56.86
originals/00080_O7As3EtAHPp6cus5hmUPb9BCU_fca5fb357677.png,233824,best/00080_O7As3EtAHPp6cus5hmUPb9BCU_fca5fb357677.webp,54762,179062,76.58
originals/00082_PbtIEUnRaotxjAHpN80DWQj4lY_1f3edc0a857e.jpg,108869,best/00082_PbtIEUnRaotxjAHpN80DWQj4lY_1f3edc0a857e.webp,48010,60859,55.9
originals/00084_Pf1CiNDRhvpyTahyDvlblpTxlg_d445ed25f4bc.png,29225,best/00084_Pf1CiNDRhvpyTahyDvlblpTxlg_d445ed25f4bc.avif,10402,18823,64.41
originals/00086_QG8WHNxXqMMGSvYoe11QogyAaQ_1bea884c6865.svg,1201,best/00086_QG8WHNxXqMMGSvYoe11QogyAaQ_1bea884c6865.svg,1201,0,0.0
originals/00088_QZxfRAhxllYfpGxMEuk6kFVLhU_8c4770b650f6.svg,949,best/00088_QZxfRAhxllYfpGxMEuk6kFVLhU_8c4770b650f6.svg,949,0,0.0
originals/00090_Qq1hpfsOGdVcMBaTsJ8cRIZxYM_99da2454abed.jpg,83534,best/00090_Qq1hpfsOGdVcMBaTsJ8cRIZxYM_99da2454abed.webp,36678,46856,56.09
originals/00092_Qq1hpfsOGdVcMBaTsJ8cRIZxYM_1689aa20c6ba.jpg,134968,best/00092_Qq1hpfsOGdVcMBaTsJ8cRIZxYM_1689aa20c6ba.webp,60646,74322,55.07
originals/00094_Qzg7hOnOYm2PR1xuvL1xDf7C4M_f8ed77456287.png,6259,best/00094_Qzg7hOnOYm2PR1xuvL1xDf7C4M_f8ed77456287.avif,2799,3460,55.28
originals/00096_Qzg7hOnOYm2PR1xuvL1xDf7C4M_9a80e2e08aca.png,7211,best/00096_Qzg7hOnOYm2PR1xuvL1xDf7C4M_9a80e2e08aca.avif,5687,1524,21.13
originals/00098_R39pdd5RraxUMKDzVGGoYNnqC0_ddaac46da76a.png,52798,best/00098_R39pdd5RraxUMKDzVGGoYNnqC0_ddaac46da76a.avif,17724,35074,66.43
originals/00100_R39pdd5RraxUMKDzVGGoYNnqC0_c37b1b1715f6.png,19582,best/00100_R39pdd5RraxUMKDzVGGoYNnqC0_c37b1b1715f6.avif,8561,11021,56.28
originals/00102_R39pdd5RraxUMKDzVGGoYNnqC0_21d3fef05026.png,88964,best/00102_R39pdd5RraxUMKDzVGGoYNnqC0_21d3fef05026.avif,29252,59712,67.12
originals/00104_RhAovRvnguUANWRqQHJTM8xMwg_54f477b4062b.jpg,123615,best/00104_RhAovRvnguUANWRqQHJTM8xMwg_54f477b4062b.webp,38998,84617,68.45
originals/00108_RhAovRvnguUANWRqQHJTM8xMwg_07accce7b86e.jpg,85304,best/00108_RhAovRvnguUANWRqQHJTM8xMwg_07accce7b86e.webp,5750,79554,93.26
originals/00110_TDqwwuuERJIkMwN3ZjsZgCTOFoU_310dd2caa0ce.png,47852,best/00110_TDqwwuuERJIkMwN3ZjsZgCTOFoU_310dd2caa0ce.avif,22134,25718,53.74
originals/00112_UysuhckvFL577sNYi6mjHa2VlTk_d5565e57d0cb.png,52186,best/00112_UysuhckvFL577sNYi6mjHa2VlTk_d5565e57d0cb.webp,14444,37742,72.32
originals/00114_V1xnEAqJ9jSuY7bZyd79iPx8zLk_6a486e820e19.jpg,22154,best/00114_V1xnEAqJ9jSuY7bZyd79iPx8zLk_6a486e820e19.webp,8958,13196,59.56
originals/00116_V1xnEAqJ9jSuY7bZyd79iPx8zLk_6a9430c6db2a.jpg,23643,best/00116_V1xnEAqJ9jSuY7bZyd79iPx8zLk_6a9430c6db2a.avif,14028,9615,40.67
originals/00118_VlXVSTuHKTz4XzjZzNLWYchfHMQ_957c1b61b2fd.png,71155,best/00118_VlXVSTuHKTz4XzjZzNLWYchfHMQ_957c1b61b2fd.webp,33140,38015,53.43
originals/00120_VlXVSTuHKTz4XzjZzNLWYchfHMQ_c3b01788bf1c.png,25612,best/00120_VlXVSTuHKTz4XzjZzNLWYchfHMQ_c3b01788bf1c.webp,11518,14094,55.03
originals/00122_VlXVSTuHKTz4XzjZzNLWYchfHMQ_42160b8e2ba9.png,111330,best/00122_VlXVSTuHKTz4XzjZzNLWYchfHMQ_42160b8e2ba9.webp,55586,55744,50.07
originals/00124_VnciKup8vZHBGa1LuhRkhlGKGY_102454f5667a.jpg,22226,best/00124_VnciKup8vZHBGa1LuhRkhlGKGY_102454f5667a.webp,8098,14128,63.57
originals/00126_VnciKup8vZHBGa1LuhRkhlGKGY_fed076d679aa.jpg,65931,best/00126_VnciKup8vZHBGa1LuhRkhlGKGY_fed076d679aa.webp,24594,41337,62.7
originals/00128_WUFCBuh0wNjDvRv5B5ZqEH4mjA_e07834d2df77.png,72839,best/00128_WUFCBuh0wNjDvRv5B5ZqEH4mjA_e07834d2df77.avif,23685,49154,67.48
originals/00130_X5To8PkDflJIVyk4uVlpTZbM_22ede5fccf8d.jpg,12688,best/00130_X5To8PkDflJIVyk4uVlpTZbM_22ede5fccf8d.webp,4674,8014,63.16
originals/00132_X5To8PkDflJIVyk4uVlpTZbM_ae35dcd131e5.jpg,14126,best/00132_X5To8PkDflJIVyk4uVlpTZbM_ae35dcd131e5.webp,10038,4088,28.94
originals/00134_YNzdkrl3B55n6jdaG6fo6LYESZA_17291973bb79.svg,1246,best/00134_YNzdkrl3B55n6jdaG6fo6LYESZA_17291973bb79.svg,1246,0,0.0
originals/00136_ZlJbchQEeboQ3J4HC0w7Lj2SRvQ_1b4361034ef5.png,71869,best/00136_ZlJbchQEeboQ3J4HC0w7Lj2SRvQ_1b4361034ef5.avif,19889,51980,72.33
originals/00138_Zvdfe1gp8sWKa70I45O77VG0dE_d91f3b0304eb.png,8068,best/00138_Zvdfe1gp8sWKa70I45O77VG0dE_d91f3b0304eb.avif,4445,3623,44.91
originals/00140_ebekakhYpL3GtZjgSIDuFLWgX5M_4e21017eaaa5.jpg,27338,best/00140_ebekakhYpL3GtZjgSIDuFLWgX5M_4e21017eaaa5.webp,15932,11406,41.72
originals/00142_hTDlc2jTbUoIvwdIm9paun4dC2E_f88439511e79.png,85655,best/00142_hTDlc2jTbUoIvwdIm9paun4dC2E_f88439511e79.avif,25710,59945,69.98
originals/00144_hTDlc2jTbUoIvwdIm9paun4dC2E_395e43091414.png,172130,best/00144_hTDlc2jTbUoIvwdIm9paun4dC2E_395e43091414.avif,52437,119693,69.54
originals/00146_iZZOz7kuB4YLvdGWAg8yO3avoLQ_6bb20eea84b4.jpg,46697,best/00146_iZZOz7kuB4YLvdGWAg8yO3avoLQ_6bb20eea84b4.webp,26428,20269,43.41
originals/00148_icI7irO97FyvZXQhkTNToAAsxA_aa62ba634e35.jpg,8190,best/00148_icI7irO97FyvZXQhkTNToAAsxA_aa62ba634e35.webp,5472,2718,33.19
originals/00150_icI7irO97FyvZXQhkTNToAAsxA_8be517195b82.jpg,18993,best/00150_icI7irO97FyvZXQhkTNToAAsxA_8be517195b82.webp,13588,5405,28.46
originals/00152_icI7irO97FyvZXQhkTNToAAsxA_22cf3d217e59.jpg,46280,best/00152_icI7irO97FyvZXQhkTNToAAsxA_22cf3d217e59.webp,40000,6280,13.57
originals/00154_icI7irO97FyvZXQhkTNToAAsxA_0322bfe7d816.jpg,3731,best/00154_icI7irO97FyvZXQhkTNToAAsxA_0322bfe7d816.avif,1975,1756,47.07
originals/00156_icI7irO97FyvZXQhkTNToAAsxA_2861f676cded.jpg,51735,best/00156_icI7irO97FyvZXQhkTNToAAsxA_2861f676cded.jpg,51735,0,0.0
originals/00158_ihBupsd47mUBkztGVAMt31VNRN4_8245c185e5ac.png,85059,best/00158_ihBupsd47mUBkztGVAMt31VNRN4_8245c185e5ac.webp,40532,44527,52.35
originals/00160_kGnNaK4Hq75IROfl09b8iDmZSY_23bd189bdc59.png,38894,best/00160_kGnNaK4Hq75IROfl09b8iDmZSY_23bd189bdc59.avif,23590,15304,39.35
originals/00162_mIOVCZ8m2Ggx43qRvq4ViZKEA_cd9f2c95fe16.jpg,32284,best/00162_mIOVCZ8m2Ggx43qRvq4ViZKEA_cd9f2c95fe16.webp,13156,19128,59.25
originals/00164_mIOVCZ8m2Ggx43qRvq4ViZKEA_c4076ad61099.jpg,10736,best/00164_mIOVCZ8m2Ggx43qRvq4ViZKEA_c4076ad61099.webp,4572,6164,57.41
